"","analyzer_version","artist_7digitalid","artist_familiarity","artist_hotttnesss","artist_id","artist_latitude","artist_location","artist_longitude","artist_mbid","artist_name","artist_playmeid","genre","idx_artist_terms","idx_similar_artists","release","release_7digitalid","song_hotttnesss","song_id","title","track_7digitalid"
"1","''",165270,0.581793765845,0.401997543364,"'ARD7TVE1187B99BFB1'",NA,"'California - LA'",NA,"'e77e51a5-4761-45b3-9847-2051f811e366'","'Casual'",4479,"''",0,0,"'Fear Itself'",300848,0.602119989906,"'SOMZWCG12A8C13C480'","""IDidn'tMeanTo""",3401791
"2","''",1998,0.63063003759,0.417499644971,"'ARMJAGH1187FB546F3'",35.14968,"'Memphis, TN'",-90.04892,"'1c78ab62-db33-4433-8d0b-7c8dcf1849c2'","'The Box Tops'",22066,"''",0,0,"'Dimensions'",300822,NA,"'SOCIWDW12A8C13D406'","'Soul Deep'",3400270
"3","''",290021,0.487356790928,0.343428378297,"'ARKRRTF1187B9984DA'",NA,"''",NA,"'7a273984-edd9-4451-9c4d-39b38f05ebcd'","'Sonora Santanera'",13951,"''",0,0,"'Las Numero 1 De La Sonora Santanera'",514953,NA,"'SOXVLOJ12AB0189215'","'Amor De Cabaret'",5703798
"4","''",19072,0.630382334147,0.454231156571,"'AR7G5I41187FB4CE6C'",NA,"'London, England'",NA,"'e188a520-9cb7-4f73-a3d7-2f70c6538e92'","'Adam Ant'",12697,"''",0,0,"'Friend Or Foe'",287650,NA,"'SONHOTT12A8C13493C'","'Something Girls'",3226795
"5","''",30973,0.651045660832,0.401723685504,"'ARXR32B1187FB57099'",NA,"''",NA,"'c6903a2e-063c-4f91-a284-17b8f421be7b'","'Gob'",8355,"''",0,0,"'Muertos Vivos'",611336,0.604500738589,"'SOFSOCN12A8C143F5D'","'Face the Ashes'",6795666
"6","''",432935,0.535292735512,0.385470550556,"'ARKFYS91187B98E58F'",NA,"''",NA,"'79c403f9-5467-4f23-8426-9ca3fc60a115'","'Jeff And Sheri Easter'",63801,"''",0,0,"'Ordinary Day'",41838,NA,"'SOYMRWW12A6D4FAB14'","'The Moon And I (Ordinary Day Album Version)'",444964
"7","''",17970,0.556495601913,0.261941177381,"'ARD0S291187B9B7BF5'",NA,"'Ohio'",NA,"'56503d6d-094e-4c28-ae3d-04cc748ade5b'","'Rated R'",-1,"''",0,0,"'Da Ghetto Psychic'",25824,NA,"'SOMJBYD12A6D4F8557'","'Keepin It Real (Skit)'",276593
"8","''",21128,0.801136446997,0.605507135691,"'AR10USD1187B99F3F1'",NA,"'Burlington, Ontario, Canada'",NA,"'d89de379-665d-425c-b2e9-41b95d1edb36'","'Tweeterfriendly Music'",-1,"''",0,0,"'Gin & Phonic'",8876,NA,"'SOHKNRJ12A6701D1F8'","'Drop of Rain'",90004
"9","''",276891,0.426667857069,0.332275746599,"'AR8ZCNI1187B9A069B'",NA,"''",NA,"'19d232b9-b4d7-4dc8-b259-bf65efb655b1'","'Planet P Project'",-1,"''",0,0,"'Pink World'",358182,0.265861049211,"'SOIAZJW12AB01853F1'","'Pink World'",3996579
"10","''",242273,0.550513697848,0.422705641029,"'ARNTLGG11E2835DDB9'",NA,"''",NA,"'4d96f7d0-2f0e-4e92-ba70-a405f96f8cec'","'Clp'",-1,"''",0,0,"'Superinstrumental'",692313,NA,"'SOUDSGM12AC9618304'","'Insatiable (Instrumental Version)'",7684249
