"","song.id","analysis.sample.rate","artist.7digitalid","artist.familiarity","artist.hotttnesss","artist.playmeid","danceability","duration","end.of.fade.in","energy","key","key.confidence","loudness","mode","mode.confidence","release.7digitalid","song.hotttnesss","start.of.fade.out","tempo","time.signature","time.signature.confidence","year"
"1","TRPLYLH128F425369C",22050,4645,"0.6174733",0.44294894,45433,0,238.10567,0.16,0,0,0.438,-8.835,0,0.438,198616,0.4051157217,224.525,104.816,4,0,0
"2","TRPLYFZ128F4264C9A",22050,155352,"0.08012477",0,-1,0,404.4273,6.327,0,0,0.422,-22.535,0,0.521,94537,0.3560643,388.116,75.482,5,0.572,0
"3","TRPLYQQ128F92ECB8F",22050,4822,"0.5781036",0.4148926,8349,0,37.51138,0,0,0,0,-19.491,1,0,332823,0,37.511,77.241,7,0.47,1997
"4","TRPLYAH128F426B9CD",22050,15926,"0.78064716",0.5497523,1241,0,174.31465,2.09,0,5,0.763,-14.435,1,0.683,155108,0,162.702,116.055,4,1,1995
"5","TRPLYFV128F4229C98",22050,180632,"0.46280643",0.30903834,58733,0,451.81342,0.334,0,0,0.58,-14.402,1,0.553,233993,0,439.832,149.068,5,0.797,2000
"6","TRPLYCI128F4268FF3",22050,198506,"0.38051426",0.27489507,-1,0,131.5522,0.15,0,9,0.164,-6.843,1,0.348,260175,0.3560643,128.993,164.758,4,0,1994
"7","TRPLYMZ128F4266161",22050,37086,"0.6401545",0.5148725,-1,0,267.98975,0.183,0,10,0.529,-14.774,0,0.602,152901,0.6641728502,257.341,129.962,4,0.692,2007
"8","TRPLYYO128F42AAFAE",22050,11414,"0.5773258",0.45828635,14641,0,72.56771,0,0,3,0.104,-14.572,1,0.249,227207,0.3560643,72.568,130.281,5,0.09,0
"9","TRPLYCI128F4248CCC",22050,27528,"0.50421876",0.3657473,14716,0,248.65913,0.206,0,2,0.484,-25.03,1,0.454,235502,0.3560643,238.132,137.868,3,0.674,0
"10","TRPLYIZ128F425F653",22050,117275,"0.3491947",0.27043957,99454,0,217.10323,0,0,7,0.174,-6.714,1,0.408,150666,0,217.103,126.872,1,0,0
"11","TRPLYBG128F4274F65",22050,121846,"0.37939584",0.35664454,-1,0,272.63956,0.171,0,3,0.38,-24.845,1,0.355,157877,0.3560643,272.64,91.708,3,1,1999
"12","TRPLYGV128F425A1C7",22050,19603,"0.7302463",0.5204896,6964,0,119.97995,0,0,7,0.588,-10.521,0,0.452,200960,0.547952942,110.707,160.349,4,0,2003
"13","TRPLYEA128F422AD95",22050,187178,"0.6175455",0.37607807,-1,0,386.79465,0.273,0,5,0.469,-4.603,0,0.413,125663,0.5452302939,378.514,111.99,4,0.731,2002
"14","TRPLYMC128F9341014",22050,347392,"0.4162353",0.33088362,-1,0,159.92117,0.131,0,0,0.245,-5.818,1,0.369,469770,0.3829350901,154.221,202.575,7,0.92,0
"15","TRPLYUW12903CA8860",22050,27142,"0.614025",0.41594315,-1,0,125.64853,0,0,1,0.557,-13.619,1,0.56,751995,0,125.649,229.682,1,0,0
"16","TRPLYJF128F428CCBC",22050,185560,"0.5837478",0.40786213,-1,0,107.15383,5.428,0,4,0.434,-6.954,1,0.43,239741,0.3560643,98.842,131.593,1,0,1987
"17","TRPLYDF12903CBD03B",22050,34867,"0.43970934",0.32431072,145354,0,195.70892,0.073,0,1,0.528,-23.417,1,0.419,582406,0.3560643,191.007,64.467,3,0.798,0
"18","TRPLYZQ12903CBE93F",22050,182580,"0.40065968",0.31814355,181134,0,573.9881,0.142,0,5,0.102,-5.822,0,0.287,583274,0.1922963063,560.536,135.92,4,0.775,2009
"19","TRPLYHI128F1470B3F",22050,128851,"0.6578269",0.45873082,11377,0,166.79138,1.223,0,9,0,-7.576,1,0.141,32993,0.4890382092,160.45,91.891,4,0.204,1990
"20","TRPLYCA128F42956F9",22050,2981,"0.7052877",0.51729804,5226,0,149.91628,0,0,2,0.778,-17.692,1,0.793,300387,0.3560643,149.916,121.267,1,0,0
"21","TRPLYJW128F93027E4",22050,70607,"0.401328",0.28857863,81565,0,152.16281,0.357,0,1,0.62,-24.388,1,0.628,446429,0.3560643,139.389,63.492,1,0,0
"22","TRPLYMP12903CFA1E3",22050,175268,"0.42063072",0.3352329,-1,0,167.8624,0.136,0,2,0,-11.665,1,0,603995,0,153.995,149.745,5,0.85,2004
"23","TRPLYNT128F14AE1D5",22050,21014,"0.64709467",0.50044787,13194,0,335.98648,2.159,0,7,0.412,-6.76,1,0.563,64471,0.3560643,325.973,134.098,4,0.959,0
"24","TRPLYPH128F145A716",22050,16701,"0.5847528",0.36279655,-1,0,195.73506,0.264,0,5,0.529,-16.269,1,0.451,23758,0.3972653549,178.759,91.006,1,0,0
"25","TRPLYVR128F425570F",22050,41049,"0.40048718",0.32306617,-1,0,205.97507,0.467,0,5,0.426,-18.19,1,0.14,146637,0.3560643,196.841,109.206,3,1,0
"26","TRPLYNZ128F932E01D",22050,265904,"0.51802355",0.41319528,-1,0,486.3473,0,0,4,0.759,-6.957,1,0.723,634008,0.3603705827,450.432,130.44,4,0.57,2001
"27","TRPLYPC128F14682DC",22050,19354,"0.65255874",0.3445406,125993,0,202.47466,0.333,0,10,0.189,-10.376,0,0.612,28356,0.3560643,202.475,125.839,4,0.32,1995
"28","TRPLYFU128F1463419",22050,247,"0.5712935",0.37057838,-1,0,305.1881,2.101,0,11,0.704,-8.92,0,0.647,26697,0.3725300394,290.046,120.094,4,0.784,0
"29","TRPLYNV128F931036D",22050,291577,"0.5185202",0.44239935,193284,0,117.18485,0.157,0,2,0.826,-5.411,1,0.624,404627,0.559225706,113.505,146.224,4,0,1997
